text,label
"***SPOILERS*** ***SPOILERS*** Are all teen slasher flicks suffering from a drought of originality? It awfully seems so. First of all, this is a noble premise that could've been utilized well. A rejected young nerd who grows up, stalks and murders all the girls who tortured the hell out of him when he was in junior high? Can't say you had nothing to work with. But this film goes through the same motions as all the other recent slashers. Everything from the score to the camera angles allow us to predict exactly when a false alarm is coming and exactly when the killer will strike. We know the pattern by now. These stupid slasher movies push the credibility envelope more and more by the minute. Let me ask you something: Who, in their right mind, is going to surprise a friend of theirs in a dark, dreary morgue in the middle of the night and just surprise her out of the blue while she's all alone and surrounded by corpses? Does that make any damn sense at all?<br /><br />""Valentine"" is only occasionally innovative. One good shot involves the butchering of Denise Richards' character. She gets trapped inside a pool and the killer pokes at her with a chainsaw. There's some good songs in the soundtrack, including one cool track by Orgy. The music video is contained in the special features section on the DVD.<br /><br />Even the acting is mediocre at best. The actors all sleep through their roles. Of course, David Boreanaz is often stoic, even in his portrayal as the title character on ""Angel."" Denise Richards is a fine actress, though, and she keeps a stoneface throughout the movie.<br /><br />""Valentine"" is just like you'd expect: pretentious, implausible, forgettable, cheesy and without a good scare in sight. Don't even bother.<br /><br />My score: 4 (out of 10)",0
"I saw this when on The Wonderful World of Disney as a kid, so I didn't recall much of it. As I watched it recently, I sat there thinking, ""This is the weirdest thing I've seen"".<br /><br />The 'traveling' scenes look like something caused by an LSD overdose. The animated characters are mostly oddly colored/voiced versions of Jungle Book and Robin Hood characters. Some not-so-Disney things I noticed: kids being threatened at knife point and prostitutes(during the Portobello Road song).<br /><br />It was very entertaining, though the musical numbers were long and I can see little kids getting bored with them. Also, the subject manner was a bit dark, seeing as it was set during WW2.",1
A good picture is worth all the words. This film has the most poetic scene ever dreamed of about people with Down's syndrome. And I won't spoil it by telling you. You'll want to see it yourself.<br /><br />Pasqual Duquenne is an amazing actor. I did not need to understand a single word he said to understand his meaning.<br /><br />The film has a magic of it's own. After watching it I understood better that we put too much value on achievement and not enough on the people we love. Passion and simplicity is all we need.,1
The Cure uses voice over to create an intense mood. Although the VO accounts for all of the film's lines it amazingly does not take away from the visual story. The use of multiple film stocks add a lot of texture to the story. The choice of combining b & w and color worked nicely to enhance the leaps in time. The ending will make you jump despite being able to anticipate the result. I was especially enjoyed the thrill of the film's suspense. The close-ups for the love scene are also lovely and reflect a tasteful eye. The piece is quite short but accomplishes a lot. The tight editing really helps to show off what a short film can do. Worth watching more than once!,1
"This is the worst movie I have ever seen, and I have seen quite a few movies. It is passed off as an art film, but it is really a piece of trash. It's one redeeming quality is the beautiful tango dancing, but that cannot make up for Sally Potter's disgustingly obvious tribute to herself. The plot of this movie is nonexistent, and I guarantee you will start laughing by the end. Especially where she starts singing. It's absolutely unreal.",0
"The plot had some wretched, unbelievable twists. However, the chemistry between Mel Brooks and Leslie Ann Warren was excellent. The insight that she comes to, ""There are just moments,"" provides a philosophical handle by which anyone could pick up, and embrace, life.<br /><br />That was one of several moments that were wonderfully memorable.",1
"Good western filmed in the rocky Arizona wilds. Lots of tough guys throughout; Cobern's character seemed to rock back and forth between a raging psycho and a laid back type. Several holes appeared in the picture, but not enough to offset it being exciting and worth seeing. One really dumb scene shows Heston emptying .45 cases of their powder and collecting it in a sack for the purpose of starting a fire. A. To gather that much gunpowder he would have needed a pack mule to carry the ammo. B. The grass was obviously dry: why not just drop a match on it and let 'er rip?",1
"This movie is to Halloween what the hilarious ""Christmas Story"" is to Christmas: both are relatively low-budget, no-big-name-stars type films...and both are two of the absolute greatest and funniest movies available, both seasonal CLASSICS!!! ""Spaced Invaders"" comes galloping out right from the start with warmth and humor and a superb cast of characters...all five goofy Martians, Klembecker the Realtor, Russell the deputy, Vern at the ""fuel dispensing depot"" and so many more! You just have to see this movie to believe it, and, like ""Christmas Story"", it just keeps getting better and better with each viewing, and you pick up on fun little things each time!! MOST DEFINITELY A TEN!!!",1
"And I'll tell you why: whoever decided to edit this movie to make it suitable for television was very ill-advised. EVERYTHING CONCERNING DRUGS IS CUT OUT AND COVERED UP!!! How do they do it, you might ask? Well, they don't do it very well, that's for sure. Anyway, instead of the marijuana which Cheech and Chong are supposed to have in their possession, they are said to have diamonds! Still, the characters go around in a haze of marijuana smoke stoning others along their way with no explanation whatsoever!",1
"Renowned cinematographer Freddie Francis (Glory, The Elephant Man) directs this pretty bad horror/drama film. 19th Century England has a different view of how the practice of medicine should be handled than Dr. Thomas Rock, the law stating that only the bodies of hung criminals can be studied and experimented on. But the stockpile of these bodies is a small one, and Rock needs more - and he prefers them fresher. Being a maverick within his circle, he begins to pay people to find bodies for him to study and test on. Desperate sleazebags Robert Fallon and Timothy Broom get wind of this job opportunity and begin to murder people and sell these bodies to Rock. Naturally, this kind of action has even worse consequences than practicing on the dead bodies of non-criminals, and leads to trouble for everyone. While the overall story sounds intriguing on paper, almost everything about The Doctor And The Devils is laughably bad.<br /><br />After the first fifteen minutes of the film you are already beginning to question your decision of sitting down to watch the film. The entire look of the film is just ugly. Seeing as how the film takes place in the slums of England during the 19th Century, the filmmakers were probably going for an ""ugly"" look, but they don't do it in an artful way. Everything from the sets to the cinematography just look cheap, feeble, and disgusting. Also, just about everything scene is filled with something that you simply cannot take seriously, and most of the time this has to do with someone (both in the small and large roles) doing something that looks or sounds completely ridiculous. Francis sure didn't help out his actors much.<br /><br />Jonathan Pryce and Stephen Rea play the twisted buddies of the film, Fallon and Broom respectively, and are very bombastic but very bad. Their characters are by nature crazy, but Pryce and Rea overact the parts to death. They especially have trouble keeping the same accent from shot to shot - Pryce in particular goes from Cockney to Irish to Long John Silver to some kind of lagoon creature and so on and so forth. It's also a humor riot to see Twiggy in this film at all, let alone playing an in-demand street whore, since she can't act to save her life (though her song during the final credits isn't so funny). Boy she sure came a long way: from ""flower power"" to ""I'll take mee clothes off for a shillin'!"" As bad as those three actors are in this film, Julian Sands takes home the award for the worst performance of the film. He is just as lame as it gets, giving one laugh-out-loud attempt after another at portraying anger, love, happiness, anxiety - pick an emotion, any emotion! <br /><br />There's only one good thing about The Doctor And The Devils: Timothy Dalton's performance of Dr. Rock. Despite being surrounded by cinematic sewage, Dalton is quite excellent; giving an electric portrayal of an overly driven yet good natured man. Too bad the rest of the film could not have been as good as Mr. Dalton....",0
